unix_ts	series	value
1788839220	agg	5421.866666666667
1788839235	agg	21330.29079135212
1788839250	agg	51062.14079135212
1788839265	agg	163759.44856511147
1788839280	agg	163759.44856511147
1788839295	agg	314835.04110709263
1788839310	agg	417245.7411070927
1788839325	agg	545310.0499999999
1788839340	agg	545310.0499999999
1788839355	agg	812068.6499999999
1788839370	agg	1059316.0166666666
1788839385	agg	1144108.393495664
1788839400	agg	1144108.393495664
1788839415	agg	707338.1268289973
1788839430	agg	326390.26016233064
1788839445	agg	0
1788839460	agg	0
1788839475	agg	0
1788839490	agg	0
1788839505	agg	14616.85
1788839520	agg	14616.85
1788839535	agg	57886.049999999996
1788839550	agg	95517.04999999999
1788839565	agg	120889.51773489318
1788839580	agg	120889.51773489318
1788839595	agg	120889.51773489318
1788839610	agg	120888.89056201272
1788839625	agg	120408.40616045288
1788839640	agg	120408.40616045288
1788839655	agg	118648.07282711955
1788839670	agg	118648.70000000001
1788839685	agg	221611.85880013113
1788839700	agg	221611.85880013113
1788839715	agg	619292.9921334644
1788839730	agg	962606.0921334644
1788839745	agg	1200657.2833333332
1788839760	agg	1200657.2833333332
1788839775	agg	761467.2833333333
1788839790	agg	380523.18333333335
1788839805	agg	0
1788839820	agg	0
1788839835	agg	0
1788839850	agg	0
1788839865	agg	0
1788839880	agg	0
1788839895	agg	0
1788839910	agg	0
1788839925	agg	0
1788839940	agg	0
1788839955	agg	0
1788839970	agg	0
1788839985	agg	0
1788840000	agg	0
1788840015	agg	0
1788840030	agg	0
1788840045	agg	0
1788840060	agg	0
1788840075	agg	0
1788840090	agg	0
1788840105	agg	0
1788840120	agg	0
1788840135	agg	0
1788840150	agg	0
1788840165	agg	0
1788840180	agg	0
1788840195	agg	0
1788840210	agg	0
1788840225	agg	0
1788840240	agg	0
1788840255	agg	0
1788840270	agg	0
1788840285	agg	0
1788840300	agg	0
1788840315	agg	0
1788840330	agg	0
1788840345	agg	0
1788840360	agg	0
1788840375	agg	0
1788840390	agg	0
1788840405	agg	0
1788840420	agg	0
1788840435	agg	0
1788840450	agg	0
1788840465	agg	0
1788840480	agg	0
1788840495	agg	0
1788840510	agg	0
1788840525	agg	0
1788840540	agg	0
1788840555	agg	0
1788840570	agg	0
1788840585	agg	0
1788840600	agg	0
1788840615	agg	0
1788840630	agg	0
1788840645	agg	0
1788840660	agg	0
1788840675	agg	0
1788840690	agg	0
1788840705	agg	0
1788840720	agg	0
1788840735	agg	0
1788840750	agg	0
1788840765	agg	0
1788840780	agg	0
1788840795	agg	0
1788840810	agg	0
1788840825	agg	0
1788840840	agg	0
1788840855	agg	0
1788840870	agg	0
1788840885	agg	0
1788840900	agg	0
1788840915	agg	0
1788840930	agg	0
1788840945	agg	0
1788840960	agg	0
1788840975	agg	0
1788840990	agg	0
1788841005	agg	0
1788841020	agg	0
1788841035	agg	0
1788841050	agg	0
1788841065	agg	0
1788841080	agg	0
1788841095	agg	0
1788841110	agg	0
1788841125	agg	0
1788841140	agg	0
1788841155	agg	0
